# index, sex, race, grade, school, _pos
195,1,1,9,1,"array([24.00382946, 12.02842666])"
196,2,2,9,1,"array([26.06331071,  8.91963318])"
197,1,1,10,1,"array([23.84625923,  9.61581969])"
198,2,1,11,1,"array([22.7260603 , 10.39498533])"
199,1,1,12,1,"array([22.28643951, 10.60481554])"
200,1,1,10,1,"array([23.53150993,  8.55994936])"
201,2,2,9,1,"array([26.30780304,  8.26259218])"
202,2,3,9,1,"array([19.57185514, 16.37841021])"
203,1,1,12,1,"array([21.83930744, 10.29767545])"
204,2,4,12,1,"array([23.79745784,  1.90842835])"
205,2,1,11,1,"array([22.69875419, 10.29862084])"
206,2,2,9,1,"array([27.21305976,  8.71059752])"
207,1,1,10,1,"array([24.96674048,  9.81468191])"
208,2,1,10,1,"array([22.92143397, 11.22445216])"
209,2,1,10,1,"array([23.7041161,  9.8466192])"
210,1,3,10,1,"array([24.6009705 , 11.60608391])"
211,1,1,9,1,"array([24.532442  , 10.21729864])"
212,2,1,11,1,"array([23.27648285,  8.61697668])"
213,1,3,9,1,"array([24.4549234 , 11.58903465])"
214,1,5,10,1,"array([23.38686209,  8.78329768])"
215,2,1,10,1,"array([20.72709205,  7.98729695])"
216,1,4,10,1,"array([23.83715034,  6.95054665])"
217,2,2,12,1,"array([25.84243445,  6.2583127 ])"
218,2,1,10,1,"array([24.12568717,  8.44138505])"
219,1,1,10,1,"array([23.37069175, 10.97552191])"
220,2,1,10,1,"array([23.58431987, 10.30071342])"
221,2,1,9,1,"array([32.00349572,  5.60189001])"
222,1,1,12,1,"array([24.33395357,  8.40658333])"
223,2,1,9,1,"array([24.01034042, 10.58468626])"
224,1,1,9,1,"array([25.21100788, 10.12179013])"
225,2,1,9,1,"array([24.89755393,  9.65596884])"
226,1,2,9,1,"array([26.13904381,  9.28274956])"
227,2,1,11,1,"array([21.97773452,  9.99111785])"
228,1,1,10,1,"array([23.70241546,  8.28553261])"
229,1,1,9,1,"array([24.13042704,  9.91577607])"
230,1,2,10,1,"array([26.10025992,  6.94309775])"
231,2,1,12,1,"array([22.47001258, 10.6912978 ])"
232,2,3,10,1,"array([25.72100668,  7.32514684])"
233,2,1,11,1,"array([22.96040738,  9.44862133])"
234,1,1,9,1,"array([21.03314575,  9.67951541])"
235,2,1,11,1,"array([23.23643867,  8.17364206])"
236,1,1,9,1,"array([24.70522732, 11.39741197])"
237,1,1,12,1,"array([22.72570581,  8.53346345])"
238,2,1,11,1,"array([24.59225886,  8.14275924])"
239,1,1,12,1,"array([21.7980593 , 10.59238678])"
240,1,1,10,1,"array([24.23887444,  7.41604963])"
241,2,1,12,1,"array([21.88139272, 10.45658676])"
242,2,2,9,1,"array([25.68429316,  9.04245452])"
243,2,2,10,1,"array([26.64879757,  8.74699201])"
244,2,5,10,1,"array([23.95322446,  8.18118632])"
245,1,4,12,1,"array([20.71701843,  2.47060113])"
246,1,1,11,1,"array([22.76931515,  9.62526837])"
247,1,2,9,1,"array([30.75187894,  3.91420267])"
248,2,1,11,1,"array([22.63337576, 10.50131872])"
249,1,1,10,1,"array([29.21070939,  2.6454062 ])"
250,2,1,9,1,"array([24.04397778,  9.88359495])"
251,2,1,10,1,"array([24.09844008,  8.04008996])"
252,2,1,10,1,"array([23.18148928,  9.66361039])"
253,1,2,10,1,"array([24.60634606,  8.33220913])"
254,1,5,11,1,"array([22.61251014, 10.08574874])"
255,1,1,9,1,"array([24.96880918,  8.89142918])"
